vend_player_id,season_year,week,full_name,team_pos,opponent,points
1097,2015,15,Adam Vinatieri,ind k,HOU,7.7
1440,2015,15,Phil Dawson,sf k,CIN,6.6
1575,2015,15,Matt Hasselbeck,ind qb,HOU,12.9
2148,2015,15,Sebastian Janikowski,oak k,GB,7.7
2330,2015,15,Tom Brady,ne qb,TEN,20.2
2580,2015,15,Drew Brees,no qb,DET,18.3
3504,2015,15,Shayne Graham,atl k,JAX,8.6
4459,2015,15,Carson Palmer,ari qb,PHI,19.9
4461,2015,15,Andre Johnson,ind wr,HOU,2.9
4512,2015,15,Anquan Boldin,sf wr,CIN,7.5
4527,2015,15,Jason Witten,dal te,NYJ,6.4
4680,2015,15,Josh Brown,nyg k,CAR,7.8
5362,2015,15,Antonio Gates,sd te,MIA,7.6
5526,2015,15,Eli Manning,nyg qb,CAR,16.6
5528,2015,15,Larry Fitzgerald,ari wr,PHI,12.5
5529,2015,15,Philip Rivers,sd qb,MIA,17.9
5536,2015,15,Ben Roethlisberger,pit qb,DEN,16.9
5557,2015,15,Benjamin Watson,no te,DET,6.5
5615,2015,15,Matt Schaub,bal qb,KC,11
5633,2015,15,Jerricho Cotchery,car wr,NYG,3.3
5941,2015,15,Wes Welker,stl wr,TB,1.1
6016,2015,15,Malcom Floyd,sd wr,MIA,6
8416,2015,15,Alex Smith,kc qb,BAL,15.4
8439,2015,15,Aaron Rodgers,gb qb,OAK,18
8442,2015,15,Roddy White,atl wr,JAX,4.2
8444,2015,15,Heath Miller,pit te,DEN,5.6
8461,2015,15,Mike Nugent,cin k,SF,8
8479,2015,15,Frank Gore,ind rb,HOU,10.6
8544,2015,15,Darren Sproles,phi rb,ARI,7.7
8644,2015,15,Matt Cassel,dal qb,NYJ,11.4
8664,2015,15,Ryan Fitzpatrick,nyj qb,DAL,14.3
9307,2015,15,Nate Washington,hou wr,IND,6.4
9329,2015,15,Nick Novak,hou k,IND,8.5
9354,2015,15,Robbie Gould,chi k,MIN,7.4
9400,2015,15,Lance Moore,det wr,NO,4.5
9530,2015,15,John Kuhn,gb rb,OAK,0.2
9592,2015,15,Vernon Davis,den te,PIT,5.1
9597,2015,15,Jay Cutler,chi qb,MIN,12.5
9613,2015,15,DeAngelo Williams,pit rb,DEN,13.9
9614,2015,15,Marcedes Lewis,jax te,ATL,1.8
9638,2015,15,Greg Jennings,mia wr,SD,0.2
9639,2015,15,Anthony Fasano,ten te,NE,1.7
9643,2015,15,Devin Hester,atl wr,JAX,0.3
9684,2015,15,Owen Daniels,den te,PIT,3
9695,2015,15,Jason Avant,kc wr,BAL,0.3
9704,2015,15,Stephen Gostkowski,ne k,TEN,9
9705,2015,15,Brandon Marshall,nyj wr,DAL,9.9
9761,2015,15,Delanie Walker,ten te,NE,7.8
9838,2015,15,Marques Colston,no wr,DET,5.7
10195,2015,15,Fred Jackson,sea rb,CLE,6.9
10447,2015,15,Calvin Johnson,det wr,NO,12.8
10452,2015,15,Adrian Peterson,min rb,CHI,15.4
10453,2015,15,Ted Ginn Jr.,car wr,NYG,6.6
10475,2015,15,Greg Olsen,car te,NYG,10.8
10521,2015,15,Matt Spaeth,pit te,DEN,0.1
10522,2015,15,James Jones,gb wr,OAK,5.9
10572,2015,15,Scott Chandler,ne te,TEN,3.7
10605,2015,15,Brent Celek,phi te,ARI,1.7
10636,2015,15,Mason Crosby,gb k,OAK,7.4
10713,2015,15,Pierre Thomas,wsh rb,BUF,2.6
10770,2015,15,Eric Weems,atl wr,JAX,0.1
11122,2015,15,Matt Prater,det k,NO,7.8
11237,2015,15,Matt Ryan,atl qb,JAX,14.9
11238,2015,15,Darren McFadden,dal rb,NYJ,8.3
11276,2015,15,Eddie Royal,chi wr,MIN,3.9
11278,2015,15,Matt Forte,chi rb,MIN,9.9
11280,2015,15,Jerome Simpson,sf wr,CIN,0.1
11283,2015,15,DeSean Jackson,wsh wr,BUF,7.8
11318,2015,15,Harry Douglas,ten wr,NE,3
11319,2015,15,Craig Stevens,ten te,NE,0.3
11364,2015,15,Gary Barnidge,cle te,SEA,7.6
11373,2015,15,Jacob Tamme,atl te,JAX,5.5
11383,2015,15,Tim Hightower,no rb,DET,11.5
11392,2015,15,Kellen Davis,nyj te,DAL,0.2
11439,2015,15,Pierre Garcon,wsh wr,BUF,5.6
11458,2015,15,Stevie Johnson,sd wr,MIA,9.6
11658,2015,15,Mike Tolbert,car rb,NYG,5.5
11674,2015,15,Danny Amendola,ne wr,TEN,9.1
11688,2015,15,Dan Carpenter,buf k,WSH,7.9
11717,2015,15,Marcel Reece,oak rb,GB,1.8
