fox_player_id,season_year,week,full_name,team_pos,opponent,points
5024,2015,14,Cam Newton,(Car - QB),ATL,21.1
5544,2015,14,Jameis Winston,(TB - QB),NO,20.8
4822,2015,14,Aaron Rodgers,(GB - QB),DAL,20.8
5087,2015,14,Russell Wilson,(Sea - QB),BAL,20.7
4840,2015,14,Alex Smith,(KC - QB),SD,19.9
4787,2015,14,Drew Brees,(NO - QB),TB,19.4
4783,2015,14,Matt Hasselbeck,(Ind - QB),JAC,19.4
4863,2015,14,Philip Rivers,(SD - QB),KC,18.8
4955,2015,14,Matthew Stafford,(Det - QB),STL,18.4
4949,2015,14,Andy Dalton,(Cin - QB),PIT,18.1
5025,2015,14,Ryan Tannehill,(Mia - QB),NYG,17.8
4799,2015,14,Jay Cutler,(Chi - QB),WAS,17.5
5068,2015,14,Tyrod Taylor,(Buf - QB),PHI,17.2
5100,2015,14,Kirk Cousins,(Was - QB),CHI,17.0
4959,2015,14,Shaun Draughn,(SF - RB),CLE,16.8
5453,2015,14,Blake Bortles,(Jac - QB),IND,16.7
4816,2015,14,Carson Palmer,(Ari - QB),MIN,16.5
4861,2015,14,Eli Manning,(NYG - QB),MIA,16.3
4864,2015,14,Ben Roethlisberger,(Pit - QB),CIN,16.0
5479,2015,14,Johnny Manziel,(Cle - QB),SF,15.9
5014,2015,14,Case Keenum,(StL - QB),DET,15.8
4839,2015,14,DeAngelo Williams,(Pit - RB),CIN,15.7
4922,2015,14,Jonathan Stewart,(Car - RB),ATL,15.2
5054,2015,14,LeSean McCoy,(Buf - RB),PHI,15.1
5034,2015,14,Doug Martin,(TB - RB),NO,14.9
5009,2015,14,Chris Ivory,(NYJ - RB),TEN,14.8
5542,2015,14,Marcus Mariota,(Ten - QB),NYJ,14.7
4892,2015,14,Adrian Peterson,(Min - RB),ARI,14.6
5240,2015,14,Brock Osweiler,(Den - QB),OAK,14.4
4992,2015,14,DeMarco Murray,(Phi - RB),BUF,14.4
5558,2015,14,David Johnson,(Ari - RB),MIN,14.3
4914,2015,14,Darren McFadden,(Dal - RB),GB,14.3
5550,2015,14,Todd Gurley,(StL - RB),DET,14.2
4803,2015,14,Ryan Fitzpatrick,(NYJ - QB),TEN,14.2
5237,2015,14,Derek Carr,(Oak - QB),DEN,14.0
4866,2015,14,Matt Schaub,(Bal - QB),SEA,13.8
