vend_player_id,season_year,week,full_name,team_pos,opponent,points
4783,2015,15,Matt Hasselbeck,(Ind - QB),HOU,13.7
4785,2015,15,Tom Brady,(NE - QB),TEN,17.8
4787,2015,15,Drew Brees,(NO - QB),DET,19.5
4792,2015,15,Matt Cassel,(Dal - QB),NYJ,12.5
4795,2015,15,Heath Miller,(Pit - TE),DEN,6.9
4796,2015,15,Owen Daniels,(Den - TE),PIT,4.0
4797,2015,15,Greg Jennings,(Mia - WR),SD,2.4
4798,2015,15,Frank Gore,(Ind - RB),HOU,9.9
4799,2015,15,Jay Cutler,(Chi - QB),MIN,16.4
4803,2015,15,Ryan Fitzpatrick,(NYJ - QB),DAL,14.8
4806,2015,15,Marques Colston,(NO - WR),DET,8.2
4807,2015,15,Darren Sproles,(Phi - RB),ARI,4.5
4809,2015,15,Roddy White,(Atl - WR),JAC,8.2
4815,2015,15,Brandon Marshall,(NYJ - WR),DAL,9.9
4816,2015,15,Carson Palmer,(Ari - QB),PHI,18.0
4817,2015,15,Andre Johnson,(Ind - WR),HOU,5.0
4818,2015,15,Anquan Boldin,(SF - WR),CIN,8.5
4819,2015,15,Jason Witten,(Dal - TE),NYJ,6.0
4822,2015,15,Aaron Rodgers,(GB - QB),OAK,18.5
4823,2015,15,Craig Stevens,(Ten - TE),NE,0.1
4825,2015,15,Marcedes Lewis,(Jac - TE),ATL,2.8
4830,2015,15,Jason Avant,(KC - WR),BAL,0.8
4831,2015,15,Vernon Davis,(Den - TE),PIT,1.8
4832,2015,15,Scott Chandler,(NE - TE),TEN,2.9
4835,2015,15,Matt Ryan,(Atl - QB),JAC,19.3
4838,2015,15,Devin Hester,(Atl - WR),JAC,0.2
4839,2015,15,DeAngelo Williams,(Pit - RB),DEN,13.0
4840,2015,15,Alex Smith,(KC - QB),BAL,19.6
4841,2015,15,Anthony Fasano,(Ten - TE),NE,1.5
4843,2015,15,James Jones,(GB - WR),OAK,8.7
4844,2015,15,Delanie Walker,(Ten - TE),NE,6.1
4845,2015,15,Miles Austin,(Phi - WR),ARI,0.2
4846,2015,15,Nate Washington,(Hou - WR),IND,7.7
4848,2015,15,Andre Caldwell,(Den - WR),PIT,3.1
4849,2015,15,Jacob Tamme,(Atl - TE),JAC,6.5
4850,2015,15,Dwayne Bowe,(Cle - WR),SEA,4.2
4852,2015,15,Harry Douglas,(Ten - WR),NE,6.9
4853,2015,15,Brent Celek,(Phi - TE),ARI,2.7
4855,2015,15,Greg Olsen,(Car - TE),NYG,7.8
4856,2015,15,Eric Weems,(Atl - WR),JAC,0.6
4858,2015,15,Antonio Gates,(SD - TE),MIA,5.3
4859,2015,15,Matthew Slater,(NE - WR),TEN,1.0
4860,2015,15,Zach Miller,(Chi - TE),MIN,5.3
4861,2015,15,Eli Manning,(NYG - QB),CAR,10.6
4862,2015,15,Larry Fitzgerald,(Ari - WR),PHI,11.7
4863,2015,15,Philip Rivers,(SD - QB),MIA,20.0
4864,2015,15,Ben Roethlisberger,(Pit - QB),DEN,16.4
4865,2015,15,Benjamin Watson,(NO - TE),DET,7.7
4866,2015,15,Matt Schaub,(Bal - QB),KC,13.6
4868,2015,15,Jerricho Cotchery,(Car - WR),NYG,6.2
4870,2015,15,Eddie Royal,(Chi - WR),MIN,6.5
4871,2015,15,Ted Ginn Jr.,(Car - WR),NYG,5.6
4874,2015,15,Malcom Floyd,(SD - WR),MIA,8.1
4878,2015,15,Tim Hightower,(NO - RB),DET,10.7
4879,2015,15,Danny Amendola,(NE - WR),TEN,8.9
4880,2015,15,Kellen Davis,(NYJ - TE),DAL,1.7
4886,2015,15,Darren Fells,(Ari - TE),PHI,4.7
4888,2015,15,Calvin Johnson,(Det - WR),NO,11.6
4892,2015,15,Adrian Peterson,(Min - RB),CHI,18.1
4893,2015,15,Matt Forte,(Chi - RB),MIN,12.8
4894,2015,15,Cedric Peerman,(Cin - RB),SF,0.3
4896,2015,15,Jerome Simpson,(SF - WR),CIN,0.3
4897,2015,15,Mike Tolbert,(Car - RB),NYG,3.1
4900,2015,15,Rashad Jennings,(NYG - RB),CAR,6.2
4906,2015,15,Gary Barnidge,(Cle - TE),SEA,5.3
4907,2015,15,Darrius Heyward-Bey,(Pit - WR),DEN,2.8
4910,2015,15,John Kuhn,(GB - RB),OAK,0.7
4912,2015,15,Marlon Moore,(Cle - WR),SEA,1.1
4913,2015,15,James Starks,(GB - RB),OAK,6.1
4914,2015,15,Darren McFadden,(Dal - RB),NYJ,10.7
4915,2015,15,Brandon Tate,(Cin - WR),SF,0.8
4919,2015,15,Clay Harbor,(Jac - TE),ATL,0.5
4921,2015,15,Ed Dickson,(Car - TE),NYG,3.1
4927,2015,15,Jared Cook,(StL - TE),TB,7.4
4930,2015,15,Donald Brown,(SD - RB),MIA,1.2
4933,2015,15,Eric Decker,(NYJ - WR),DAL,8.3
4936,2015,15,DeSean Jackson,(Was - WR),BUF,10.2
4943,2015,15,Brandon LaFell,(NE - WR),TEN,8.6
4952,2015,15,Jim Dray,(Cle - TE),SEA,0.5
4955,2015,15,Matthew Stafford,(Det - QB),NO,19.4
4956,2015,15,Virgil Green,(Den - TE),PIT,0.1
4958,2015,15,John Phillips,(SD - TE),MIA,0.1
4959,2015,15,Shaun Draughn,(SF - RB),CIN,13.6
4960,2015,15,Hakeem Nicks,(NYG - WR),CAR,1.8
