vend_player_id,season_year,week,full_name,team_pos,opponent,points
206,2015,15,Andre Caldwell,WR - DEN,PIT,3.20
222,2015,15,Harry Douglas,WR - TEN,NE,4.60
234,2015,15,Matt Forte,RB - CHI,MIN,7.80
284,2015,15,Darren McFadden,RB - DAL,NYJ,5.60
310,2015,15,Matt Ryan,QB - ATL,JAC,19.86
324,2015,15,Jacob Tamme,TE - ATL,JAC,0.90
768,2015,15,Steve Johnson,WR - SD,MIA,9.10
949,2015,15,Jonathan Stewart,RB - CAR,NYG,8.00
1060,2015,15,Gary Barnidge,TE - CLE,SEA,12.10
1581,2015,15,DeSean Jackson,WR - WAS,BUF,10.50
1990,2015,15,Eddie Royal,WR - CHI,MIN,3.60
2346,2015,15,Pierre Garcon,WR - WAS,BUF,11.80
2649,2015,15,Danny Amendola,WR - NE,TEN,3.50
4327,2015,15,Danny Woodhead,RB - SD,MIA,16.40
4433,2015,15,Marcel Reece,RB - OAK,GB,1.00
71217,2015,15,Kenny Britt,WR - STL,TB,3.70
71265,2015,15,Jared Cook,TE - STL,TB,2.50
71269,2015,15,Michael Crabtree,WR - OAK,GB,5.00
71345,2015,15,Rashad Jennings,RB - NYG,CAR,2.40
71417,2015,15,Jordan Norwood,WR - DEN,PIT,2.20
79607,2015,15,LeSean McCoy,RB - BUF,WAS,14.50
79860,2015,15,Matthew Stafford,QB - DET,NO,18.98
80427,2015,15,Darrius Heyward-Bey,WR - PIT,DEN,3.60
80429,2015,15,Jeremy Maclin,WR - KC,BAL,12.40
81294,2015,15,Brian Hoyer,QB - HOU,IND,16.80
89766,2015,15,Brandon Myers,TE - TB,STL,1.20
497095,2015,15,Sam Bradford,QB - PHI,ARI,8.16
497145,2015,15,Joique Bell,RB - DET,NO,12.20
497172,2015,15,Anthony Dixon,RB - BUF,WAS,0.50
497188,2015,15,Ryan Mathews,RB - PHI,ARI,6.30
497204,2015,15,C.J. Spiller,RB - NO,DET,12.20
497206,2015,15,James Starks,RB - GB,OAK,7.40
497224,2015,15,Ed Dickson,TE - CAR,NYG,2.50
497234,2015,15,Garrett Graham,TE - HOU,IND,3.20
497238,2015,15,Jermaine Gresham,TE - ARI,PHI,2.10
497240,2015,15,Rob Gronkowski,TE - NE,TEN,14.20
497242,2015,15,Clay Harbor,TE - JAC,ATL,3.30
497278,2015,15,Dez Bryant,WR - DAL,NYJ,13.80
497282,2015,15,Riley Cooper,WR - PHI,ARI,1.60
497284,2015,15,Eric Decker,WR - NYJ,DAL,6.20
497302,2015,15,Brandon LaFell,WR - NE,TEN,11.30
