player_id,espn_player_id
00-0027942,13983
00-0030540,15834
00-0031612,17626
00-0023459,8439
00-0032009,17756
00-0030035,17178
00-0016919,1097
00-0025394,10452
00-0025637,10693
00-0031288,16810
00-0031743,17789
00-0030669,17182
00-0023436,8416
00-0031075,17134
00-0029141,15009
00-0030821,17163
00-0028267,14433
00-0031428,16799
00-0031830,17749
00-0029137,14912
00-0031544,17677
00-0032104,17580
00-0026237,11331
00-0021175,3575
00-0030287,15893
00-0028263,14403
00-0022044,4461
00-0027691,13226
00-0031055,16889
00-0031718,17747
00-0027918,13958
00-0029668,14874
00-0027753,13440
00-0027973,14012
00-0022084,4512
00-0027772,13212
00-0024268,9639
00-0027783,13414
00-0028074,14135
00-0026855,13158
00-0030789,17149
00-0027793,13934
00-0021547,5362
00-0026796,12497
00-0028400,14223
00-0027654,13218
00-0030832,17354
00-0028957,15187
00-0029729,17186
00-0031418,16795
00-0022924,5536
00-0029795,16055
00-0022943,5557
00-0030670,17751
00-0029264,14891
00-0028064,14129
00-0031413,16794
00-0027948,13987
00-0029576,15058
00-0032062,17490
00-0031407,16724
00-0029384,15501
00-0031818,17771
00-0031277,17143
00-0031236,16731
00-0029239,15478
00-0030801,17145
00-0026937,12567
00-0023545,8524
00-0027681,12576
00-0024334,9705
00-0029822,17171
00-0027135,12705
00-0026996,12549
00-0015754,1858
00-0027057,12597
00-0029677,14878
00-0029793,16313
00-0025549,10605
00-0029394,17154
00-0027077,12568
00-0026625,12477
00-0029640,14914
00-0030516,15896
00-0029336,15564
00-0029682,14879
00-0031326,16946
00-0024408,9780
00-0028149,14083
00-0027595,13662
00-0031568,17434
00-0029854,16040
00-0031302,16766
00-0027861,13203
00-0032134,17564
00-0031203,17172
00-0030390,15918
00-0025389,10447
00-0027939,13994
00-0031599,17704
00-0031273,17784
00-0031912,17750
00-0031045,16777
00-0021429,4459
00-0028986,15168
00-0028052,14184
00-0026932,12519
00-0026197,11291
00-0030896,17169
00-0030668,17384
00-0028112,14145
00-0030113,15885
00-0031390,16749
00-0024296,9667
00-0027069,12536
00-0026544,12471
00-0029432,15647
00-0028795,14820
00-0031136,17175
00-0032128,17638
00-0029614,15078
00-0030049,15940
00-0028237,14402
00-0027531,13587
00-0026164,11258
00-0028702,17734
00-0027140,12517
00-0028905,15230
00-0029438,14889
00-0030404,15966
00-0027950,13966
00-0030432,15855
00-0030248,16496
00-0027725,13376
00-0032256,17475
00-0029697,14900
00-0031344,16793
00-0030850,17173
00-0029000,15349
00-0027974,14001
00-0027688,13199
00-0026138,11737
00-0029534,15670
00-0030578,15807
00-0031118,17167
00-0030095,16014
00-0031731,17752
00-0028958,15226
00-0026225,11319
00-0030992,16775
00-0029435,15624
00-0030874,17138
00-0028660,14322
00-0026003,11688
00-0023578,8559
00-0032098,17790
00-0023752,10287
00-0029588,15041
00-0026035,11674
00-0026019,11788
00-0026852,13097
00-0029738,17187
00-0026144,11238
00-0023564,8544
00-0031610,17607
00-0026983,12570
00-0031381,16800
00-0032133,17578
00-0031076,16821
00-0026957,12506
00-0032187,17442
00-0027322,13621
00-0030564,15795
00-0031511,17519
00-0024242,9613
00-0031060,16945
00-0024389,9761
00-0028009,14005
00-0027874,13216
00-0030155,17189
00-0030547,15951
00-0028086,14153
00-0027714,13231
00-0029388,15503
00-0023645,8627
00-0031280,16757
00-0029119,15403
00-0029068,15351
00-0026189,11283
00-0031547,17593
00-0032055,17682
00-0024272,9643
00-0031934,17584
00-0031310,17135
00-0031285,16944
00-0027651,13207
00-0027902,13215
00-0028087,14198
00-0030422,15974
00-0027003,12489
00-0031339,16791
00-0032008,17780
00-0028411,17136
00-0032218,17665
